"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"Santander Benelux S.A.";"Santander Benelux S.A.";"BRUSSEL";"België"
"Sapia Partners LLP";"Sapia Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Sapiance Capital Ltd";"Sapiance Capital Ltd";"LONDON";"Verenigd Koninkrijk"
"SAPIEN CAPITAL LIMITED";"SAPIEN CAPITAL LIMITED";"LONDON";"Verenigd Koninkrijk"
"Sapient Research Ltd";"Sapient Research Ltd";"London";"Verenigd Koninkrijk"
"Saranac Partners Limited";"Saranac Partners Limited";"London   ";""
"Sardis Capital Limited";"Sardis Capital Limited";"LONDON";"Verenigd Koninkrijk"
"Sardona Invest AG";"Sardona Invest AG";"";""
"Satis Asset Management Limited ";"Satis Asset Management Limited";" London ";""
"Saunderson House Ltd";"Saunderson House Ltd";"LONDON";"Verenigd Koninkrijk"
"Save & Invest (Financial Planning) Ltd";"Save & Invest (Financial Planning) Ltd";"GLASGOW - LANARKSHIRE";"Verenigd Koninkrijk"
"Savills Capital Advisors Limited";"Savills Capital Advisors Limited";"LONDON";"Verenigd Koninkrijk"
"Savills Investment Management LLP";"Savills Investment Management LLP";"London";""
"Saxo Bank A/S";"Saxo Bank A/S";"Hellerup";"Denemarken"
"Saxo Capital Markets CY Limited";"Saxo Capital Markets CY Limited";"LIMASSOL";"Cyprus"
"SB Corporate Finance Partners Limited";"SB Corporate Finance Partners Limited";"London";"Verenigd Koninkrijk"
"Sberbank CIB (UK) Limted";"Sberbank CIB (UK) Limted";"LONDON";"Verenigd Koninkrijk"
"SBICAP (UK) Limited";"SBICAP (UK) Limited";"LONDON";"Verenigd Koninkrijk"
"SC Lowy Asset Management (UK) Ltd";"SC Lowy Asset Management (UK) Ltd";"London";""
"SCB & Associates Limited";"SCB & Associates Limited";"London";"Verenigd Koninkrijk"
"Scheuermann & Co Ltd";"Scheuermann & Co Ltd";"Gzira";""
"Schneider Trading Associates Limited";"Schneider Trading Associates Limited";"LONDON";"Verenigd Koninkrijk"
"Schroder & Co. Limited";"Schroder & Co. Limited";"LONDON";"Verenigd Koninkrijk"
"Schroder Adveq Management AG";"Schroder Adveq Management AG";"Zurich";"Zwitserland"
"Schroder Investment Management Limited";"Schroder Investment Management Limited";"LONDON";"Verenigd Koninkrijk"
"Schubert Investmentberatung UG";"Schubert Investmentberatung UG";"Düsseldorf";""
"Scipion Capital (Uk) Limited";"Scipion Capital (Uk) Limited";"London";""
"Scotia Capital (Europe) Ltd";"Scotia Capital (Europe) Ltd";"LONDON";"Verenigd Koninkrijk"
"Scott Harris UK Limited";"Scott Harris UK Limited";"LONDON";"Verenigd Koninkrijk"
"Sculptor Capital Management Europe Limited";"Sculptor Capital Management Europe Limited";"LONDON";"Verenigd Koninkrijk"
"SDG Investments GmbH";"SDG Investments GmbH";"Frankfurt am Main";""
"Sea Port Group Securities (Europe) LLP";"Sea Port Group Securities (Europe) LLP";"LONDON";"Verenigd Koninkrijk"
"Seabury Securities (UK) Limited";"Seabury Securities (UK) Limited";"London";"Verenigd Koninkrijk"
"Sealark LLP";"Sealark LLP";"LONDON";"Verenigd Koninkrijk"
"Searchlight Capital Partners UK LLP";"Searchlight Capital Partners UK LLP";"LONDON";"Verenigd Koninkrijk"
"SEB Enskilda ASA";"SEB Enskilda ASA";"OSLO";"Noorwegen"
"SECOR Investment Advisors (UK) LLP";"SECOR Investment Advisors (UK) LLP";"";"Verenigd Koninkrijk"
"Sector Capital Advisors ASA";"Sector Capital Advisors ASA";"OSLO";"Noorwegen"
"Sector Epsilon ASA";"Sector Epsilon ASA";"OSLO";"Noorwegen"
"Sector Fund Services AS";"Sector Fund Services AS";"OSLO";"Noorwegen"
"Sector Gamma AS";"Sector Gamma AS";"OSLO";"Noorwegen"
"Sector Omega ASA";"Sector Omega ASA";"OSLO";"Noorwegen"
"Sector Theta ASA";"Sector Theta ASA";"OSLO";"Noorwegen"
"Seedrs Limited";"Seedrs Limited";"London";"Verenigd Koninkrijk"
"Segespar Finance";"Segespar Finance";"PARIS";"Frankrijk"
"SEI Investments (Europe) Ltd.";"SEI Investments (Europe) Ltd.";"LONDON";"Verenigd Koninkrijk"
"Selección e Inversión de Capital Global, Agencia de Valores S.A.";"Selección e Inversión de Capital Global, Agencia de Valores S.A.";"MADRID";"Spanje"
"Selectum Vermogensbeheer N.V.";"Selectum Vermogensbeheer N.V.";"ANTWERPEN";"België"
"Selinus Capital GmbH";"Selinus Capital GmbH";"Frankfurt am Mainz";""
"Selwood Asset Management LLP";"Selwood Asset Management LLP";"Selwood Asset Management LLP";""
"Sem.nl B.V.";"Semmie, Sem.nl B.V.";"Amsterdam";"Nederland"
"Sequoia Capital Fund Management LLP";"Sequoia Capital Fund Management LLP";"LONDON";"Verenigd Koninkrijk"
"Sequoia Investment Management Company Limited";"Sequoia Investment Management Company Limited";"LONDON";"Verenigd Koninkrijk"
"Sequoia Vermogensbeheer N.V.";"Sequoia Vermogensbeheer N.V.";"Oosterbeek";"Nederland"
"Serpa Finantial, S.L.";"Serpa Finantial, S.L.";"Madrid";"Spanje"
"Servatus Vermogensmanagement B.V.";"Servatus, Servatus Vermogensmanagement, Servatus Vermogensmanagement B.V.";"'s-Hertogenbosch";"Nederland"
"Setanta Asset Management Limited";"Setanta Asset Management Limited";"Dublin";"Ierland"
"Seven Star Brokers Ltd";"Seven Star Brokers Ltd";"LIMASSOL";"Cyprus"
"Seven Summits Financial Ltd";"Seven Summits Financial Ltd";"London";""
"SFG Partners LLP";"SFG Partners LLP";"LONDON";"Verenigd Koninkrijk"
"SG EURO CT";"SG EURO CT";"Colombes";""
"SG Investment Management Limited";"SG Investment Management Limited";"LONDON";"Verenigd Koninkrijk"
"SG Option Europe";"SG Option Europe";"";""
"SG Private Banking N.V./S.A.";"SG Private Banking N.V./S.A.";"GENT";"België"
"SG Securities (Paris) S.A.S.";"SG Securities (Paris) S.A.S.";"LA DEFENSE CEDEX";"Frankrijk"
"Shard Capital Partners LLP";"Shard Capital Partners LLP";"London";"Verenigd Koninkrijk"
"Sharegain Limited";"Sharegain Limited";"London";"Verenigd Koninkrijk"
"Share-In Limited";"Share-In Limited";"";""
"Sharelink Securities and Financial Services Ltd";"Sharelink Securities and Financial Services Ltd";"NICOSIA";"Cyprus"
"Sheldon Invest B.V.";"Sheldon Invest B.V.";"Amsterdam";"Nederland"
"Shenkman Capital Management Ltd";"Shenkman Capital Management Ltd";"London";"Verenigd Koninkrijk"
"Shinsei International Limited";"Shinsei International Limited";"LONDON";"Verenigd Koninkrijk"
"Shooters Hill Capital Partners LLP";"Shooters Hill Capital Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Shore Capital Stockbrokers Ltd";"Shore Capital Stockbrokers Ltd";"LONDON";"Verenigd Koninkrijk"
"Short Partners LLP";"Short Partners LLP";"LONDON";"Verenigd Koninkrijk"
"SIB (Cyprus) Limited";"SIB (Cyprus) Limited";"NICOSIA";"Cyprus"
"Sierra Capital Gmbh";"Sierra Capital Gmbh";"Frankfurt am Main";""
"Sigma Broking Limited";"Sigma Broking Limited";"LONDON";"Verenigd Koninkrijk"
"Sigma Fund Management LLP";"Sigma Fund Management LLP";"LONDON";"Verenigd Koninkrijk"
"Signia Wealth Limited";"Signia Wealth Limited";"London";""
"Silk Invest Limited";"Silk Invest Limited";"LONDON";"Verenigd Koninkrijk"
"Silk Ventures Ltd";"Silk Ventures Ltd";"London";""
"Silver Lake Europe LLP";"Silver Lake Europe LLP";"LONDON";"Verenigd Koninkrijk"
"Silverpeak LLP";"Silverpeak LLP";"London";""
"SilverStreet Capital LLP";"SilverStreet Capital LLP";"London";"Verenigd Koninkrijk"
"Simba Capital Ltd";"Simba Capital Ltd";"London";""
"Simmons & Company International Capital Markets Limited";"Simmons & Company International Capital Markets Limited";"LONDON";"Verenigd Koninkrijk"
"Simmons & Company International Ltd.";"Simmons & Company International Ltd.";"ABERDEEN";"Verenigd Koninkrijk"
"Sinclair Capital Limited";"Sinclair Capital Limited";"";""
"Singelstaete Vermogensbeheer B.V.";"Singelstaete Vermogensbeheer B.V.";"Breda";"Nederland"
"Sire Ltd";"Sire Ltd";"London";""
"SIX Financial Information UK Limited";"SIX Financial Information UK Limited";"";""
"Skandinaviska Enskilda Banken AB";"Skandinaviska Enskilda Banken AB";"STOCKHOLM";"Zweden"
"SKANESTAS INVESTMENTS Ltd";"SKANESTAS INVESTMENTS Ltd";"Limassol";"Cyprus"
"Skillcapital Associates LLP";"Skillcapital Associates LLP";"LONDON";"Verenigd Koninkrijk"
"Skilling Limited";"Skilling Limited";"Nicosia";""
"Skybound Capital Uk Ltd";"Skybound Capital Uk Ltd";"LONDON";"Verenigd Koninkrijk"
"SL Investment Management Limited";"SL Investment Management Limited";"CHESHIRE";"Verenigd Koninkrijk"
"Slim Vermogensbeheer B.V.";"Slim Vermogensbeheer B.V.";"Weert";"Nederland"
"SM Capital Markets Ltd";"SM Capital Markets Ltd";"Limassol";""
"Small & Mid Cap Investment Bank AG";"Small & Mid Cap Investment Bank AG";"Munchen";""
"Smart Global Trading Consulting Limited";"Smart Global Trading Consulting Limited";"";""
"Smart Private Managers";"Smart Private Managers";"LUXEMBOURG";"Luxemburg"
"SmartPool Trading Limited";"SmartPool Trading Limited";"LONDON";"Verenigd Koninkrijk"
"SMBC Derivative Products Limited";"SMBC Derivative Products Limited";"LONDON";"Verenigd Koninkrijk"
"SMBC Nikko Capital Markets Europe GmbH";"SMBC Nikko Capital Markets Europe GmbH";"Frankfurt am Main";""
"SMBC Nikko Capital Markets Limited";"SMBC Nikko Capital Markets Limited";"LONDON";"Verenigd Koninkrijk"
"Smith & Pinching Financial Services Ltd";"Smith & Pinching Financial Services Ltd";"NORWICH, NORFOLK";"Verenigd Koninkrijk"
"Smith & Williamson Financial Services Limited";"Smith & Williamson Financial Services Limited";"LONDON";"Verenigd Koninkrijk"
"Smith & Williamson Investment Management (Europe) Limited";"Smith & Williamson Investment Management (Europe) Limited";"Dublin";""
"Smith & Williamson Investment management LLP";"Smith & Williamson Investment management LLP";"London";"Verenigd Koninkrijk"
"Smith & Williamson Investment Services Limited";"Smith & Williamson Investment Services Limited";"LONDON";"Verenigd Koninkrijk"
"Smythe House Limited";"Smythe House Limited";"LONDON";"Verenigd Koninkrijk"
"Social Finance Limited";"Social Finance Limited";"LONDON";"Verenigd Koninkrijk"
"Societatea de Servich de Investith Financiare Romintrade S.A.";"Societatea de Servich de Investith Financiare Romintrade S.A.";"Brasov";"Roemenië"
"Societe de Bourse Gilbert Dupont";"Societe de Bourse Gilbert Dupont";"PARIS";"Frankrijk"
"Societe Generale Asset Management Finance S.A.";"Sgam Finance S.A., Societe Generale Asset Management Finance S.A.";"PARIS - LA DÉFENSE CEDEX";"Frankrijk"
"Société Générale Bank & Trust S.A.";"Société Générale Bank & Trust S.A.";"Luxemburg";"Luxemburg"
"Soditic Asset Management LLP";"Soditic Asset Management LLP";"LONDON";"Verenigd Koninkrijk"
"Soditic Limited";"Soditic Limited";"LONDON";"Verenigd Koninkrijk"
"Solid Global Investors Advisory Limited";"Solid Global Investors Advisory Limited";"London";""
"Solium Capital UK Limited";"Solium Capital UK Limited";"London";"Verenigd Koninkrijk"
"Solum Financial Partners LLP";"Solum Financial Partners LLP";"LONDON";"Verenigd Koninkrijk"
"SOLVENTIS, A.V., S.A.";"SOLVENTIS, A.V., S.A.";"Barcelona";"Spanje"
"Somerset Capital Limited";"Somerset Capital Limited";"LONDON";"Verenigd Koninkrijk"
"Sourcecap International Limited";"Sourcecap International Limited";"LONDON";"Verenigd Koninkrijk"
"South Capital Advisors LLP";"South Capital Advisors LLP";"LONDON";"Verenigd Koninkrijk"
"Southeastern Asset Management International (UK) Limited";"Southeastern Asset Management International (UK) Limited";"LONDON";"Verenigd Koninkrijk"
"Southern Cross Equities (UK) Limited";"Southern Cross Equities (UK) Limited";"LONDON";"Verenigd Koninkrijk"
"SPA Financial Services Ltd";"SPA Financial Services Ltd";"NICOSIA";"Cyprus"
"Spaargaren & Sommer Vermogensbeheer B.V.";"Spaargaren & Sommer asset management, Spaargaren Sommer & Co Vermogensbeheer, Spaargaren & Sommer Vermogensadvies, Spaargaren & Sommer Vermogensbeheer B.V.";"Oegstgeest";"Nederland"
"Spar Nord Bank A/S";"Spar Nord Bank A/S";"AALBORG";"Denemarken"
"Sparrows Capital Limited";"Sparrows Capital Limited";"London";"Verenigd Koninkrijk"
"Spayne Lindsay & Co. LLP";"Spayne Lindsay & Co. LLP";"LONDON";"Verenigd Koninkrijk"
"Specialist Solutions Plc";"Specialist Solutions Plc";"CHELTENHAM - GLOUCESTERSHIRE";"Verenigd Koninkrijk"
"Spectra Capital FX LLP";"Spectra Capital FX LLP";"LONDON";"Verenigd Koninkrijk"
"Speedwell Weather Derivatives Limited";"Speedwell Weather Derivatives Limited";"LONDON";"Verenigd Koninkrijk"
"Spence and Spence Limited";"Spence and Spence Limited";"EDINBURGH";"Verenigd Koninkrijk"
"SPF Beheer B.V.";"SPF Beheer B.V.";"Utrecht";"Nederland"
"Spire Europe Limited";"Spire Europe Limited";"LONDON";"Verenigd Koninkrijk"
"Spire Partners LLP";"Spire Partners LLP";"";""
"Spirit Asset Management SA";"Spirit Asset Management SA";"";""
"Spread Co Limited";"Spread Co Limited";"MIDDLESEX";"Verenigd Koninkrijk"
"Spreadex Ltd";"Spreadex Ltd";"ST. ALBANS - HERTFORDSHIRE";"Verenigd Koninkrijk"
"Spring River asset Management Limited";"Spring River asset Management Limited";"";""
"Springwood Capital (UK) Limited";"Springwood Capital (UK) Limited";"London";"Verenigd Koninkrijk"
"SPX Intemational Asset Management Ltd";"SPX Intemational Asset Management Ltd";"Londen";""
"Square Capital LLP";"Square Capital LLP";"LONDON";"Verenigd Koninkrijk"
"Square Mile Asset Management Limited";"Square Mile Asset Management Limited";"London";""
"Squared Financial (CY) Limited";"Probus FX30, Squared Financial (CY) Limited";"Limassol";""
"Squared Limited";"Squared Limited";"London";""
"Squawker Ltd";"Squawker Ltd";"London";"Verenigd Koninkrijk"
"SRP Risk & Finance LLP";"SRP Risk & Finance LLP";"";"Verenigd Koninkrijk"
"SSE Trading Limited";"SSE Trading Limited";"PERTH - PERTHSHIRE";"Verenigd Koninkrijk"
"SSW Market Making GmbH";"SSW Market Making GmbH";"Oststeinbek";"Duitsland"
"SSY Futures Limited";"SSY Futures Limited";"LONDON";"Verenigd Koninkrijk"
"St Helen's Capital Plc";"St Helen's Capital Plc";"LONDON";"Verenigd Koninkrijk"
"St Johns Asset Management Limited";"St Johns Asset Management Limited";"Bromsgrove  Worcestershire";"Verenigd Koninkrijk"
"Stafford Private Equity Limited";"Stafford Private Equity Limited";"London";"Verenigd Koninkrijk"
"Stallion Advisers Limited";"Stallion Advisers Limited";"";""
"Stamford Associates Limited";"Stamford Associates Limited";"London";"Verenigd Koninkrijk"
"Standard Advisory London Limited";"Standard Advisory London Limited";"London";""
"Standard Advisory Services Limited";"Standard Advisory Services Limited";"Valletta";""
"Standard Bank Plc.";"Standard Bank Plc.";"LONDON";"Verenigd Koninkrijk"
"Standard Chartered Bank";"Standard Chartered Bank";"LONDON";"Verenigd Koninkrijk"
"Standard Life Investments Limited";"Standard Life Investments Limited";"EDINBURGH, MIDLOTHIAN";"Verenigd Koninkrijk"
"Standard Life Wealth Limited";"Standard Life Wealth Limited";"EDINBURGH MIDLOTHIAN";"Verenigd Koninkrijk"
"Starfuels Commodities Ltd";"Starfuels Commodities Ltd";"London";""
"Stargate Corporate Finance Ltd";"Stargate Corporate Finance Ltd";"";""
"Starmark Investment Management Limited";"Starmark Investment Management Limited";"LONDON";"Verenigd Koninkrijk"
"StarPortfolio GmbH";"StarPortfolio GmbH";"Friedrichsdorf";"Duitsland"
"Starwood Capital Europe Advisors LLP";"Starwood Capital Europe Advisors LLP";"London";""
"State Street Bank and Trust Company";"State Street Bank and Trust Company";"BOSTON, MASSACHUSETTS 02111";"Verenigde Staten"
"State Street Bank Europe Ltd.";"State Street Bank Europe Ltd.";"LONDON";"Verenigd Koninkrijk"
"State Street Bank International GmbH, Amsterdam Branch";"State Street Bank International GmbH, Amsterdam Branch";"Amsterdam";"Duitsland"
"State Street Europe Limited";"State Street Europe Limited";"London";""
"State Street Global Advisors Ireland Limited";"State Street Global Advisors Ireland Limited";"DUBLIN 4";"Ierland"
"State Street Global Advisors Limited";"State Street Global Advisors Limited";"LONDON";"Verenigd Koninkrijk"
"State Street Global Markets International Limited";"State Street Global Markets International Limited";"LONDEN";"Verenigd Koninkrijk"
"Stater Global Markets Limited";"Stater Global Markets Limited";"";""
"Statim Limited";"Statim Limited";"LONDON";"Verenigd Koninkrijk"
"Staude Capital Limited";"Staude Capital Limited";"London";""
"Stedman Denny Ltd";"Stedman Denny Ltd";"London";"Verenigd Koninkrijk"
"STEED Capital B.V.";"STEED Capital B.V.";"Maastricht";"Nederland"
"Steel Road Capital UK Ltd";"Steel Road Capital UK Ltd";"London";""
"SteelRock Limited";"SteelRock Limited";"LONDON";""
"Steentjes Vermogensbeheer B.V.";"Steentjes Vermogensbeheer B.V., Tostrams Vermogensbeheer";"Naarden";"Nederland"
"Stella Capital Advisors LLP";"Stella Capital Advisors LLP";"LONDON";"Verenigd Koninkrijk"
"Stellwagen Capital UK Limited";"Stellwagen Capital UK Limited";"London";""
"Stenham Asset Management (UK) Plc";"Stenham Asset Management (UK) Plc";"LONDON";"Verenigd Koninkrijk"
"Stephens Europe Limited";"Stephens Europe Limited";"";""
"Stepstone Group Europe LLP";"Stepstone Group Europe LLP";"";"Verenigd Koninkrijk"
"Sterling Pension Management Limited";"Sterling Pension Management Limited";"LONDON";"Verenigd Koninkrijk"
"Sterne Agee UK LLP";"Sterne Agee UK LLP";"London";"Verenigd Koninkrijk"
"Stichting Beleggingsonderneming IQ EQ-Giro";"Stichting Beleggingsonderneming IQ EQ-Giro, Stichting Beleggingsrekening ANT-Trust";"Amsterdam";"Nederland"
"Stifel Nicolaus Europe Limited";"Keefe, Bruyette & Woods Europe, KBW Europe, Stifel, Keefe, Bruyette & Woods and KBW, Stifel Nicolaus Europe Limited";"LONDON";"Verenigd Koninkrijk"
"STJ Advisors Group Limited";"STJ Advisors Group Limited";"London";""
"STJ Advisors LLP";"STJ Advisors LLP";"LONDON";"Verenigd Koninkrijk"
"Stockcube Research Limited";"Stockcube Research Limited";"LONDON";"Verenigd Koninkrijk"
"Stocks Forex AF Ltd";"Stocks Forex AF Ltd";"";""
"Stoic Capital B.V.";"Stoic Capital B.V.";"Amsterdam";"Nederland"
"Stone Futures Limited";"Stone Futures Limited";"DARTFORD, KENT";"Verenigd Koninkrijk"
"Stone Harbor Investment Partners (UK), LLP";"Stone Harbor Investment Partners (UK), LLP";"LONDON";"Verenigd Koninkrijk"
"Stonehage Investment Partners LLP";"Stonehage Investment Partners LLP";"LONDON";"Verenigd Koninkrijk"
"Stoneware Capital LLP";"Stoneware Capital LLP";"LONDON";"Verenigd Koninkrijk"
"StormHarbour Securities LLP";"StormHarbour Securities LLP";"LONDON";"Verenigd Koninkrijk"
"Strand Capital Limited";"Strand Capital Limited";"LONDON";"Verenigd Koninkrijk"
"Strategic Income Management LLC";"Strategic Income Management LLC";"SEATTLE";"Verenigde Staten"
"Strategic Value Partners (UK) LLP";"Strategic Value Partners (UK) LLP";"LONDON";"Verenigd Koninkrijk"
"Strategis Capital Mangement UK LLP";"Strategis Capital Mangement UK LLP";"London";"Verenigd Koninkrijk"
"Strathmore Capital LLP";"Strathmore Capital LLP";"LONDON";"Verenigd Koninkrijk"
"Streams Financial Services Ltd";"Streams Financial Services Ltd";"Limassol";""
"Street Analysts Limited";"Street Analysts Limited";"London";""
"Stride. VC LLP";"Stride. VC LLP";"London";""
"Stroeve & Lemberger Vermogensbeheer N.V.";"Stroeve & Lemberger Vermogensbeheer N.V.";"Weesp";"Nederland"
"Sturgeon Alternatives Limited";"Sturgeon Alternatives Limited";"";""
"STX Fixed Income B.V.";"STX Fixed Income B.V.";"Amsterdam";"Nederland"
"Sucden Financial Limited";"Sucden Financial Limited";"LONDON";"Verenigd Koninkrijk"
"Sucden Financial Limited";"Sucden Financial Limited";"ZEIST";"Nederland"
"Sumitomo Corporation Global Commodities Limited";"Sumitomo Corporation Global Commodities Limited";"London ";""
"Sumitomo Mitsui Banking Corporation Europe Limited";"Sumitomo Mitsui Banking Corporation Europe Ltd, Sumitomo Mitsui Banking Corporation Europe Limited";"LONDON";"Verenigd Koninkrijk"
"Summa Capital Oy";"Summa Capital Oy";"Helsinki";"Finland"
"Sun Global Investments Limited";"Sun Global Investments Limited";"";""
"Sun Hung Kai Financial (UK) Limited";"Sun Hung Kai Financial (UK) Limited";"London";""
"Sun Life Institutional Distributors (U.S.) LLC";"Sun Life Institutional Distributors (U.S.) LLC";"SAN FRANCISCO";"Verenigde Staten"
"Sun Trading International Limited";"Sun Trading International Limited";"";""
"SunGard Global Execution Services Ltd";"SunGard Global Execution Services Ltd";"LONDON";"Verenigd Koninkrijk"
"Sunrise Brokers LLP";"Sunrise Brokers LLP";"LONDON";"Verenigd Koninkrijk"
"Susquehanna International Securities Ltd.";"Susquehanna International Securities Ltd.";"DUBLIN 1";"Ierland"
"Susquehanna International Securities Ltd. (London Branch)";"Susquehanna International Securities Ltd. (London Branch)";"LONDON";"Verenigd Koninkrijk"
"Sussex Partners UK Ltd";"Sussex Partners UK Ltd";"LONDON";"Verenigd Koninkrijk"
"Sustainable Insight Capital Management LLP";"Sustainable Insight Capital Management LLP";"London";"Verenigd Koninkrijk"
"SVB Financial Group UK Limited";"SVB Financial Group UK Limited";"LONDON";"Verenigd Koninkrijk"
"Svelland Capital (UK) Ltd";"Svelland Capital (UK) Ltd";"London";"Verenigd Koninkrijk"
"SVG Managers Limited";"SVG Managers Limited";"LONDON";"Verenigd Koninkrijk"
"Sweco Capital Consultants B.V.";"Sweco Capital Consultants B.V.";"De Bilt";"Nederland"
"Swiss Alp Asset Management GmbH";"Swiss Alp Asset Management GmbH";"";""
"SWISS Re Capital Markets Europe S.A.";"SWISS Re Capital Markets Europe S.A.";"Luxembourg";""
"Swiss Re Capital Markets Ltd.";"Swiss Re Capital Markets Limited, Swiss Re Capital Markets Ltd.";"LONDON";"Verenigd Koninkrijk"
"swisspartners AG";"swisspartners AG";"VADUZ";"Liechtenstein"
"Swissquote Financial Services (Malta) Limited";"Swissquote Financial Services (Malta) Limited";"Birkirkara";"Malta"
"Swissquote Ltd";"Swissquote Ltd";"London";"Verenigd Koninkrijk"
"Swordfish Capital Management LLP";"Swordfish Capital Management LLP";"LONDON";"Verenigd Koninkrijk"
"Sydbank A/S";"Sydbank A/S";"AANENRAA";"Denemarken"
"Symbiotics (UK) Limited";"Symbiotics (UK) Limited";"London";""
"Symbiotics Netherlands B.V.";"Symbiotics Netherlands B.V.";"Amsterdam";"Nederland"
"Symbiotics SA";"Symbiotics SA";"Geneva";"Zwitserland"
"SYNC Financial Technology Limited";"SYNC Financial Technology Limited";"London";""
"Syndicate Room Ltd";"Syndicate Room Ltd";"Cambridge";"Verenigd Koninkrijk"
"Synthesis Management Limited";"Synthesis Management Limited";"";""
"Systematica Investments Services Limited";"Systematica Investments Services Limited";"London";"Verenigd Koninkrijk"
"Systematica Investments UK LLP";"Systematica Investments UK LLP";"London";""
"Systrade Asset Management AG, Vaduz";"Systrade Asset Management AG, Vaduz";"VADUZ";"Liechtenstein"
"Syz Asset Management (Europe) Limited";"Syz Asset Management (Europe) Limited";"";""
"SZL S.A.";"SZL S.A.";"Strassen";"Luxemburg"
"T.B. Paterson Associates";"T.B. Paterson Associates";"DURHAM - DURHAM";"Verenigd Koninkrijk"
"T.C.R. International Ltd";"T.C.R. International Ltd";"Nicosia";""
"T.R.S. Independent Financial Advisors";"T.R.S. Independent Financial Advisors";"EBBW VALE - GWENT";"Verenigd Koninkrijk"
"TA Associates (UK) LLP";"TA Associates (UK) LLP";"London";"Verenigd Koninkrijk"
"Taconic Capital Advisors UK LLP";"Taconic Capital Advisors UK LLP";"LONDON";"Verenigd Koninkrijk"
"Talbot Capital Ltd";"Talbot Capital Ltd";"London";"Verenigd Koninkrijk"
"Talbot Hughes McKillop LLP";"Talbot Hughes McKillop LLP";"LONDON";"Verenigd Koninkrijk"
"Taler Asset Management (Gibraltar) Limited";"Taler Asset Management (Gibraltar) Limited";"GIBRALTAR";"Gibraltar"
"Tam Asset Management Ltd";"Tam Asset Management Ltd, TAM Ethical";"LONDON";"Verenigd Koninkrijk"
"Tamesis Associates LLP";"Tamesis Associates LLP";"";""
"Tamesis Partners LLP";"Tamesis Partners LLP";"London";"Verenigd Koninkrijk"
"Tan-EU Capital LLP";"Tan-EU Capital LLP";"LONDON";"Verenigd Koninkrijk"
"Tankard Wealth Limited";"Tankard Wealth Limited";"London";"Verenigd Koninkrijk"
"Tassi Limited";"Tassi Limited";"LONDON";"Verenigd Koninkrijk"
"Tate Consultancy Limited";"Tate Consultancy Limited";"LONDON";"Verenigd Koninkrijk"
"Tavira Securities Ltd,";"Tavira Securities Ltd,";"London";"Verenigd Koninkrijk"
"Tavistock Private Client Limited";"Tavistock Private Client Limited";"BISHOP'S STORTFORD - HERTFORDSH";"Verenigd Koninkrijk"
"Tavistock Wealth Limited";"Tavistock Wealth Limited";"";""
"TCAM Global UK Limited";"TCAM Global UK Limited";"";""
"TCW Europe Limited";"TCW Europe Limited";"London";""
"TD Asset Administration UK Limited";"TD Asset Administration UK Limited";"";""
"TD Bank Europe Limited";"TD Bank Europe Limited";"LONDON";"Verenigd Koninkrijk"
"TD Bank N.V.";"TD Bank N.V.";"Amsterdam";"Nederland"
"TD Global Finance Unlimited Company";"TD Global Finance Unlimited Company";"DUBLIN 1";"Ierland"
"TD Securities Limited";"TD Securities Limited";"LONDON";"Verenigd Koninkrijk"
"Teachers Financial Planning Limited";"Teachers Financial Planning Limited";"";""
"Technology Crossover Ventures UK, LLP";"Technology Crossover Ventures UK, LLP";"London";"Verenigd Koninkrijk"
"Teletrade-DJ International Consulting Ltd";"Teletrade-DJ International Consulting Ltd";"Nicosia";"Cyprus"
"Telios Capital Ltd";"Telios Capital Ltd";"London";"Verenigd Koninkrijk"
"Templeton Corporate Finance Limited";"Templeton Corporate Finance Limited";"London";"Verenigd Koninkrijk"
"Tendall Capital Markets Ltd";"Tendall Capital Markets Ltd";"";""
"Tendercapital Limited";"Tendercapital Limited";"London";"Verenigd Koninkrijk"
"Tera europe Limited";"Tera europe Limited";"";""
"Terium LLP";"Terium LLP";"LONDON";"Verenigd Koninkrijk"
"TF Global Markets (UK) Limited";"TF Global Markets (UK) Limited";"";"Verenigd Koninkrijk"
"TFI Markets Ltd";"TFI Markets Ltd";"STROVOLOS- NICOSIA";"Cyprus"
"TFS Derivatives Limited";"TFS Derivatives Limited";"London";"Verenigd Koninkrijk"
"TFS-ICAP Limited";"TFS-ICAP Limited";"LONDON";"Verenigd Koninkrijk"
"Thames Capital Research Limited";"Thames Capital Research Limited";"";""
"Thames River Capital LLP";"Thames River Capital LLP";"LONDON";"Verenigd Koninkrijk"
"Thames River Multi-Capital LLP";"Thames River Multi-Capital LLP";"LONDON";"Verenigd Koninkrijk"
"thatArrow Futures (UK) Limited";"thatArrow Futures (UK) Limited";"Londen";""
"THB Vermogensbeheer B.V.";"THB Vermogensbeheer B.V.";"Eindhoven";"Nederland"
"The Analyst Research LLP";"The Analyst Research LLP";"London";"Verenigd Koninkrijk"
"The Asset Management Exchange (UK)";"The Asset Management Exchange (UK)";"London";""
"The Bank of New York Mellon";"The Bank of New York Mellon";"New York, NY";"Verenigde Staten"
"The Blackstone Group Denmark ApS";"The Blackstone Group Denmark ApS";"Kopenhagen";"Denemarken"
