"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"Barings Umbrella Fund plc";"Barings Umbrella Fund plc";"DUBLIN 2";"Ierland"
"Bearbull Selector";"Bearbull Selector";"LUXEMBURG";"Luxemburg"
"Belfius Fullinvest";"Belfius Fullinvest";"BRUSSEL";"België"
"Berenberg Renminbi Bond Opportunities UI";"Berenberg Renminbi Bond Opportunities UI";"GREVENMACHER";"Luxemburg"
"Beresford Funds ICAV";"Beresford Funds ICAV";"DUBLIN 1";"Ierland"
"BL Fund Selection";"BL Fund Selection";"LUXEMBURG";"Luxemburg"
"BL SICAV";"BL SICAV";"LUXEMBURG";"Luxemburg"
"BlackRock Asset Management Ireland Limited";"BlackRock Asset Management Ireland Limited";"Dublin 4";"Ierland"
"BlackRock Common Contractual Funds  ";"BlackRock Common Contractual Funds";"Dublin 1";"Ierland"
"BlackRock Fixed Income Dublin Funds plc";"BlackRock Fixed Income Dublin Funds plc";"DUBLIN 1";"Ierland"
"BlackRock Funds I ICAV";"BlackRock Funds I ICAV";"Dublin 1";"Ierland"
"BlackRock Global Funds";"BlackRock Global Funds";"SENNINGERBERG";"Luxemburg"
"BlackRock Global Index Funds";"BlackRock Global Index Funds";"LUXEMBURG";"Luxemburg"
"BlackRock Index Selection Fund";"BlackRock Index Selection Fund";"DUBLIN 1";"Ierland"
"BlackRock Institutional Pooled Funds Plc";"BlackRock Institutional Pooled Funds Plc";"DUBLIN 2";"Ierland"
"BlackRock Strategic Funds";"BlackRock Strategic Funds";"LUXEMBURG";"Luxemburg"
"BlackRock UCITS Funds";"BlackRock UCITS Funds";"DUBLIN 1";"Ierland"
"Blackstone Alternative Investment Funds plc";"Blackstone Alternative Investment Funds plc";"DUBLIN 2";"Ierland"
"BlueBay Funds";"BlueBay Funds";"LUXEMBURG";"Luxemburg"
"Blueorchard UCITS";"Blueorchard UCITS";"Luxemburg";"Luxemburg"
"BMO Investments (Ireland) plc";"BMO Investments (Ireland) plc";"Dublin 2";"Ierland"
"BMO Investments (LUX) I Fund ";"BMO Investments (LUX) I Fund";"LUXEMBURG";"Luxemburg"
"BMO Investments II (Ireland) plc";"BMO Investments II (Ireland) plc";"DUBLIN 2";"Ierland"
"BMO UCITS ETF ICAV";"BMO UCITS ETF ICAV";"DUBLIN 2";"Ierland"
"BNP Paribas Asset Management France";"BNP Paribas Asset Management France";"Parijs";"Frankrijk"
"BNP PARIBAS ASSET MANAGEMENT Nederland N.V.";"BNP PARIBAS ASSET MANAGEMENT Nederland N.V.";"Amsterdam";"Nederland"
"BNP Paribas B Strategy";"BNP Paribas B Strategy";"BRUSSEL";"België"
"BNP Paribas Bond Cash Equivalent";"BNP Paribas Bond Cash Equivalent";"Parijs";"Frankrijk"
"BNP Paribas Developpement Humain";"BNP Paribas Developpement Humain";"PARIS";"Frankrijk"
"BNP Paribas Easy";"BNP Paribas Easy";"LUXEMBURG";"Luxemburg"
